crop,region,season,crop_variety,growth_stage,application_time,soil_type,soil_ph,organic_matter,fertility_index,soil_moisture,drainage,rainfall_mm,temperature,humidity,sunshine_hours,nitrogen,phosphorus,potassium,fertilizer_type,application_method,planting_density,irrigation,previous_crop,pest_pressure,disease_risk,farmer_experience_years,farm_size_hectares,fertilizer_cost,yield_ton_per_ha,revenue,labour_cost,transport_cost,total_cost,profit,environmental_score,sustainability
Cocoa,Ashanti,Minor,Amazon,Vegetative,Morning,Clay Loam,6.13,4.05,46,31,Moderate,1271,28.6,88,8.7,77,34,127,NPK 15-15-15,Side Dressing,21257,Flood,Tomato,Medium,High,9,12.24,1428,0.6,10800.0,563,507,2498,8302.0,93.98,Excellent
Soybean,Northern,Major,Anidaso,Vegetative,Afternoon,Clay,6.41,3.61,91,78,Low,952,27.0,51,6.8,58,52,59,NPK 15-15-15,Side Dressing,22803,Sprinkler,Plantain,Low,High,3,1.16,1014,2.05,10250.0,696,190,1900,8350.0,90.82,Excellent
Tomato,Upper West,Minor,Pectomech,Fruiting,Evening,Clay,6.55,3.37,49,41,Low,986,29.0,67,6.0,178,101,110,NPK 23-10-10,Band Placement,24216,Sprinkler,Cocoa,High,High,8,10.43,2334,15.0,37500.0,1194,178,3706,33794.0,88.54,Good
Tomato,Savannah,Minor,Pectomech,Flowering,Morning,Clay,5.82,3.0,86,78,Low,1008,37.0,81,9.4,128,71,103,NPK 23-10-10,Side Dressing,27197,Sprinkler,Yam,High,Medium,29,8.96,1812,15.0,37500.0,541,410,2763,34737.0,91.0,Excellent
Groundnut,Ahafo,Major,Nkate SARI,Vegetative,Evening,Sandy Loam,6.26,3.99,78,52,Moderate,1281,28.3,72,8.0,55,35,68,NPK 15-15-15,Side Dressing,26797,Sprinkler,Cocoa,Medium,Low,10,6.8,948,2.23,9366.0,1139,598,2685,6681.0,85.86,Good
Yam,Eastern,Major,Lariboko,Flowering,Evening,Loam,6.65,4.45,78,20,Moderate,1559,26.9,54,6.9,136,55,126,NPK 15-15-15,Broadcast,23947,Sprinkler,Tomato,Low,Low,29,8.73,1902,15.93,35046.0,1149,398,3449,31597.0,91.34,Excellent
Rice,Central,Major,NERICA,Fruiting,Evening,Loam,7.11,4.39,89,45,Moderate,1484,25.1,83,7.1,99,50,67,Urea,Band Placement,26479,Flood,Rice,Low,Low,3,5.4,1296,4.06,18270.0,635,451,2382,15888.0,96.76,Excellent
Tomato,Bono,Major,Pectomech,Vegetative,Morning,Clay,6.5,2.43,53,80,Low,1116,30.7,49,7.6,141,105,125,Ammonium Sulphate,Broadcast,19545,None,Cocoa,Medium,Medium,14,6.46,2226,15.0,37500.0,455,494,3175,34325.0,91.98,Excellent
Cocoa,Ahafo,Minor,Amazon,Flowering,Morning,Sandy Loam,6.02,2.93,100,29,Moderate,1327,23.5,79,7.2,106,55,101,NPK 15-15-15,Side Dressing,26856,None,Rice,Low,Low,14,7.54,1572,1.23,22140.0,810,180,2562,19578.0,91.5,Excellent
Cassava,Ashanti,Minor,Afisiafi,Flowering,Afternoon,Clay Loam,6.99,4.22,57,57,Moderate,1346,25.8,91,10.0,77,18,92,NPK 15-15-15,Side Dressing,23138,None,Maize,High,Medium,17,13.83,1122,10.0,9000.0,458,410,1990,7010.0,90.66,Excellent
